Name,YearOfInstallation,Status,DescriptionOfwork,ArtistProjectStatement,SiteName,SiteAddress,Neighbourhood,Latitude,Longitude
Fountain of the Pioneers,1969,In place,Water splashes down two levels of this abstract rounded form and into the pool below. The sculpture is the centre piece of the long rectangular pool in front of the Bentall towers.,"""..my fountain sculptures are an attempt to unify water--the life force of the universe that flows in an elusive cyclical course throughout eternity--with an immutable metal sculpture.""",Bentall Bldg.,500 Burrard Street,Downtown,49.286242,-123.11782
Untitled (Shanghai lions),1995,In place,a pair of carved granite lions,A gift from the Port of Shanghai to the Port of Vancouver in recognition of their sisterhood relationship. The lions are traditionally placed at an important gateway to provide peace and prosperity.,North Main Street overpass to Port Authority,,Downtown,49.284804,-123.099243
Symbols of the Cuneiforms,1960,In place,This artwork is a delicate metal relief with plexiglas inserts.  The white sections are lighted at night. It is mounted on the exterior northwest corner of the building at Burrard and Robson (formerly the Vancouver Public Library). The piece was saved when the building was renovated from the old library.,,,750 Burrard Street,Downtown,49.283618,-123.12202
Centennial Rocket,1986,In place,"A 12-foot-long stylized rocket ship made of bronze and stainless steel sits on top of an 11-foot-high stainless steel base. The design of the rocket ship looks like a 1950s Hollywood movie space ship. The design was originally created in 1936 for the Sheet Metal Workers Local 280 float for the Pacific National Exhibition Jubilee Parade on the occasion of the City of Vancouver's 50th birthday. It was designed by Lew Parry and made into a sculpture, built by Neon Products, which was sited at the first Vancouver Air Terminal from 1939 to 1972 when it was scrapped because of rust. In 1985 the Vancouver Transportation Club and the Sheet Metal Workers Union 280 decided to build a replica to celebrate Vancouver's 100th birthday. They located Lew Parry and he still had the original plans. This time the rocketship was built from more durable materials by Terminal Sheet Metal and the Local 280 metal workers. The Rocket was exhibited at Expo 86 and then donated to the city. It was moved by helicopter to it's current site. A Centennial Time Capsule is housed in the base of the rocket, scheduled to be opened 50 years from 1986. It includes items such as an Expo 86 passport with stamps of all the pavilions and recorded messages from local celebrities and many other things.The City accepted the Centennial Rocket and a site was found for it in the small plaza at the SW end of the Cambie Street bridge.  -information from the website of SMW280","1985 version:  ""Presented to the citizens of Vancouver, this rocket is to commemorate the Centennial and the celebration of Expo 86 World's Exposition. This rocket is a symbol of the role played by craftsmanship and transportation in the growth of Vancouver."" (from the plaque on the east side of the base)",Cambie Street Plaza,Cambie Street,Fairview,49.266071,-123.115347
Pacific Gateway 100,1987,In place,landscape,"""..an apotheosis of Vancouver in its centennial year...the series [of which this is # 100) has dealt with the Pacific, i.e. peaceful gateway...not in geographic terms but as a symbol of transition from the here and now to the infinity or interior space."" Van Sun, 01.28..87",Queen Elizabeth Theatre,Hamilton & Georgia Street,Downtown,49.280453,-123.112827
Untitled (painting),,In place,"abstract, blue/purple/red",,Queen Elizabeth Playhouse, Hamilton & Georgia Street,Downtown,49.280413,-123.11244
The Jade Canoe,1996,In place,"The Jade Canoe is the second casting from the Spirit of Haida Gwai which is located at the Canadian Embassy in Washington, DC. It is a ""spirit canoe"" containing 13 figures in the Haida tradition including the Raven and other favorites of Reid's.","The sculpture at the Vancouver Airport is a recasting of the piece originally commissioned for the Canadian Embassy in Washington, DC",Vancouver Intl. Airport,Richmond,,49.195243,-123.177742
The Miracle Mile,1967,In place,,,Pacific National Exhibition Grounds,3100 E. Hastings Street,Hastings-Sunrise,49.281365,-123.043716
Untitled (Fisherman's Union Building),1968,In place,,,Fisherman's Credit Union,803 East Hastings Street,Strathcona,49.281382,-123.08681
Untitled (Large Painted Mural),1957,In place,"This large painted mural by Orville Fisher was designated as protected heritage property by the CIty of Vancouver on September 18, 2018.",,Main Post Office,349 Homer Street,Downtown,49.281357,-123.113646
Horizons,1970,In place,Three geometric hard-edge  forms of corten steel reach away from each other to narrow points. The sculpture weighs 7000 lbs. The surface weathers to a dark blue.,"A private commission by F. Cameron Wilkinson to commemorate the 60th anniversary of the Wilkinson Company, a steel and metals distribution and procesing firm. The city planning department originally denied it a permit on the grounds that it viiolated a zoning bylaw forbidding structures in landscaped setbacks of industrial sites.  The company appealed the ruling and won.",Wilkinson Company,888 S.E. Marine Drive,Sunset,49.210433,-123.087875
Untitled,1962,In place,,,Corpus Christi Church,6350 Nanaimo Street,Victoria-Fraserview,49.226406,-123.057584
Developing Form,1975,In place,A square marble block with rounded organic forms emerging from top.,,VanDusen Botanical Garden,5251 Oak Street,Shaughnessy,49.239068,-123.134604
Meta Morphosis,1975,In place,abstract ovoid form,,VanDusen Botanical Garden,5251 Oak Street,Shaughnessy,49.239702,-123.132513
Horizontal Column,1975,In place,Fluted column with curl,,VanDusen Botanical Garden,5251 Oak Street,Shaughnessy,49.239068,-123.134604
For the Botanical Garden,1975,In place,Double abstract geometric form,,VanDusen Botanical Garden,5251 Oak Street,Shaughnessy,49.238962,-123.132934
Travertine Sculpture 75,1975,In place,A large marble abstract carving that involves two ovoid forms coming out of two rectangular forms and both coming together in the middle.,"""My thoughts and feelings about family life were built into this work. .Variety of plane and shape, contrast rather than formal unity, is stressed.  The strata of the lower blocks run vertically; the strata of the upper blocks run horizontally.  The western side, facing the setting sun, is like a flat wall with projections and indentations.  The eastern side, facing the sunrise, is organic, rounded. The bottom block is carved in two forms. One is geometric, flat, masculine; the other is organic, rounded, feminine. ....""  -Vancouver Intl. Stone Sculpture Symposium catalogue",VanDusen Botanical Garden,5251 Oak Street,Shaughnessy,49.240287,-123.130676
Between,1975,In place,Two large abstract marble forms sit on a cement base.,"""I would like to feel that the particle of my personality left in the park in Vancouver will remain a symbol of understanding with all those who will meet my stone there."" -Vancouver Intl. Stone Sculpture Symposium catalogue, 1976",VanDusen Botanical Garden,5251 Oak Street,Shaughnessy,49.239103,-123.130122
Observing Your Society,1975,In place,Three faces emerge from this solid white marble form.,,VanDusen Botanical Garden,5251 Oak Street,Shaughnessy,49.238647,-123.132556
Woman,1975,In place,abstract,,VanDusen Botanical Garden,5251 Oak Street,Shaughnessy,49.238238,-123.132656
Landscape 75,1975,In place,four abstract forms,,VanDusen Botanical Garden,5251 Oak Street,Shaughnessy,49.23917,-123.132214
"Earth, Air and Sea",1975,In place,Abstract form,,VanDusen Botanical Garden,5251 Oak Street,Shaughnessy,49.238951,-123.131514
In Memoriam of Teilhard de Chardin,1975,In place,Abstract form; Part of the 1975 Symposium;,"“The most obvious symbolism was conjured up by the grid – incarceration, imprisonment or a barred way. The sphere in the middle symbolizes the eternal mystery. The two openings on the one side of the piece stand for the two sciences through which he (de Chardin) sought to shed light on this mystery. The grid states our access is barred, and/or, we ought not to touch it until we are mature enough. The whole concept could be applied to the exploration of the atom…”",VanDusen Botanical Garden,5251 Oak Street,Shaughnessy,49.239524,-123.133001
Primary No. 9,1981,In place,"This sculpture of painted steel is a playful exercise in form,space, and colour.",,Robson Square,Robson & Hornby Street,Downtown,49.282006,-123.122092
Kakasa'las,1955,In place,"This is a Kwakwaka'wakw pole which shows an Eagle, a SeaBear, a woman holding a frog, Bookwus (the Wild Man of the woods) and Dzoonokwa and a Raven at the base.","The pole was originally one of five commissioned in 1955 by Woodwards and installed in front of their store in Edmonton for thirty years before returning here. The pole was renovated by Neel's son Robert, and is now on permanent loan to Stanley Park. (Stewart, Totem Poles, 1990)",Brockton Point,Stanley Park,Stanley Park,49.299207,-123.120828
All Our Knowledge has its Origins in Our Perceptions,1995,In place,,"A library is an ordered resource for accessing information to further one's knowledge and to enhance one's learning. The route taken to that information can guide the thought process and determine the end conclusions. Leonardo realized this a few centuries ago; Our concept is to challenge users of the facility to rethink their thought processes. The most opportune time to accomplish this is before entering the Library - confronting the viewer by having them walk through the piece - and perhaps encouraging them to leave their previous perceptions at the door.The format in presenting the concept is another Leonardo da Vinci exercise - a geometric discovery of form, mathematics and order. Our interpretation of the exercise challenges the viewer's perceptions: first, by engaging the individual in a visual puzzle that defines the various elements of the geometry in a manner that also juggles their perceptions; and secondly, by making visual references to the cosmos that will take the viewer beyond the physical piece to consider the mysteries of the mind, universe, and of course, the search for truth.In locating the piece at, and as the entrance, it emphasizes Public Art as a functioning componenet of life and architecture - the concept challenging one's thought process and the physical statement aiding in the flow and function of the ordered architecture.",Renfrew Public Library, 2969 E. 22nd Avenue,Renfrew-Collingwood,49.250885,-123.042243
Fountain of Time,1995,In place, Water cascades down a curved 3m high x 15m long wall of semi-circular tiles in a fish scale pattern into a tiled pool with designs related to time: a clock face and ruins.,"""In reference to the library, the theme can be read as fragments which fit together like a jigsaw puzzle to form a larger picture much as one accesses the library in quest of materials to fit in gaps of knowledge or time.The birth of the mechanical clock circa 1,000 AD was a technological innovation that, as Lewis Mumford pointed out in ""Technics and Civilization"" made possible the mechanical clock as a simile for his paradigm of the workings of nature, a paradigm cited in recent years as contributing to the world's current ecological state: hence the ""ruins"" of a clock face. Yet what is watered grows; thus even an ancient ruins can initiate new life, as the unearthing of sculpture from an ancient Greece was seminal in issuing forth that springtime in Italy known as the Renaissance. This is not a fountain of youth but of time, old time reborn in the ever flowing spring of records of human endeavour.With the advent of the millenium at hand, reflections on the passing of time increase. The numbers observable in Fountain of Time (five, six, seven) reflect a countdown to the millenium: '95, '96 '97. In this context the fountain is a portrait of a certain reality of our time. Yet this particular reality (that of the twentieth century drawing to a close, and what that brings to mind), is only one of many many realities, relevent to those following the Gregorian calendar rather than for example the Islamic, Tibetan or Mayan calendars. This notion of ""mutable reality"" is a familiar theme in my work, which seeks to explore the boundaries of realism and representation:  Time... History... Motion... Imagination... Reflection…",Vancouver Public Library,350 West Georgia Street,Downtown,49.279912,-123.115277
Footnotes,1994,In place,"Fifty-seven unpolished black granite tiles are recessed randomly into the sidewalk.  Handcarved into each granite block are words or  texts chosen for their specific reference to the site.  ""The shore is the line between the sea and the land and the shore is the mid-line in the life of the city... beneath these paving stones.""","This public artwork is located on part of what was once a shoreline, now a boulevard. Beneath its paving stones are layers of shells, bones, and silence. The work is site specific as it is based on research and archival material, as well as writings about this north shore of False Creek from pre-settlement time onwards. I have quoted from the City Archives, C.P. Railway Archives, anthropologists and poets to find words to sandcarve into 57 blocks of unpolished black granite. Set into pavers, they are like markers on a path (of time), an echo. Although I feel the words selected are specific to this place, they are also general, sometimes evocative, the ardent hope they will bring out a smile on rainy day. A private moment in a public space. Assistance from Anita Green, Melanie Boyle and Patti Lynes are gratefully acknowledged. ",Yaletown Edge,1300 block of Pacific Blvd.,Downtown,49.273312,-123.124754
Password,1994,In place,Four sets of 4 letters rotate to form random words. The letters are installed in the 3 exhaust vents from the underground parkade and turn with the outflow of the exhaust fans.,"This piece is based on, and dependent upon, a part of the mechanical systems within the structure of the building.  The work consists of a series of four four-letter word groups mounted within the 20 X 92"" exhaust airduct vent grills exiting from the underground parking ventilation system... The vents face out onto the pedestrian sidewalk that runs along Pacific Boulevard... The front faces of the letters are highly polished aluminum and are visible only for the moments that they are exactly perpendicular to one's direction of view.  Rotating slowly in the existing flow of air, each block is independent of the next, causing a randomly changing array of letters, occasional words, and sometimes sentences to be swept into the pedestrian world.  The word groupings are derived from four subject areas:  active : work, rest, play; architectural: post, beam, wall; social space: city, park, yard; and weather: wind, rain, smog. ...""  (from artist proposal)","Governor's Tower, Yaletown Edge",1300 block Of Pacific Boulevard,Downtown,49.273266,-123.125332
Street Light,1997,In place,"Six 12-metre high bronze I-beam towers each hold up an image from the history of the area cut into a metal plate. The plates cast the shadow of the image onto the street. Texts etched in the limestone bases refer to the events relevant to the site. The positioning of the panels has been carefully calculated so that their optimum contrast and focus on the street is the month, date, and time that the event ocurred. For example, if the sun is shining just before noon on June 17,  the projected image of Vancouver's ""Great Fire"" will be visible on the promenade below.","""An aspect of the work is meant to produce a light and shadow play… The bronze panels cast shadows of the captured (historical) images… References in the work are hybrids[influenced by]: historic railway trestles, the Roundhouse turntable, a railway hand-car, billboard-like sign supports which were on the south shore of False Creek until the 1950's, drive-in movie theatre screens..."" (From press release)  Some of the residents in the condominiums next to the art work started a campaign against the piece when it was installed, calling it a ""malignant monstrosity."" The piece had its supporters and detractors and in the end City Council supported the public art selection process and the work has survived the tests of time.",Marinaside Crescent,Davie Circle at False Creek,Downtown,49.272805,-123.119515
Working Landscape,1998,In place,"Four circular platforms are set in the park throughway beside the Vancouver Club. Each platform has a park bench and a living indigenous tree in a round steel planter on it. The platforms are made of wood and rotate at subtle speeds based on the work week: 1 hour, 8 hours and 40 hours. The fourth platform represents the 20-minute coffee break.Commissioned by the City of Vancouver Public Art Program. Supported by development funds from the Bentall Corporation and the generous assistance of Mr. Douglas B. Forster","""The project....addresses the social dynamics of the plaza as a well-used site of rest, reflection, and passage …[The piece intends] to create a public space that is not fixed and static, but that changes through time. The 3 platforms rotate at various speeds recalling the traditional presence of clocks on public squares."" ""The platform surfaces are of heavy wooden planking; the planters of steel - materials reminiscent of the industrial buildings once such an important part of this area ...  By contrast, the trees...include species indigenous to BC, Europe, and Asia, reflecting the diverse backgrounds that constitute our social present."" -Artist's statement",Walkway,901 West Hastings Street,Downtown,49.286884,-123.115356
Trout Lake Pathways Project,1995,In place,"2' circular pebble mosaics set into the grassy areas around the perimeter of Trout Lake, primarily on the lower trails. Each mosaic depicts life such as fish, salamanders, spiders and snakes. (Maps available at Trout Lake Community Centre).","The Trout Lake Pathways Project is one of several artworks that were created within a larger project titled: ""Mapping the Future of Trout Lake"". Initiated by the Trout Lake Restoration Project, the project has involved the creation of a number of artworks including the Trout Lake Pathways Project and Circle of Stone. The artworks, like the larger project, are intended to draw attention to the habitat, plantlife, streambeds, and other important aspects of Trout Lake and John Hendry Park. Each artwork was conceptualized and created through a collaborative process with intensive involvement of the community surrounding the Trout Lake area. Through tours, workshops, Open House events and community meetings, members of the community became involved in the conceptualization and actual creation of the artworks. For the Pathways Project, workshops were held over a four week period in which students and members of the community created images with naturally coloured stones. The images were then grouted and set permanently into the ground around the lake.  Van Tech students participated.Anne Marie Slater was the coordinator and Paula Jardine was the coordinating artist for the entire Mapping the Future of Trout Lake project.",John Hendry Park - Trout Lake,16th & Victoria Street,Kensington-Cedar Cottage,49.256824,-123.064024
New Currents and Ancient Streams,1994,In place,"A series of upper pools, waterfall, and lower pool with overlapping black slate.  A large glacial boulder sits in the upper pool and an identical cast bronze replica sits in the lower pool.  Inscription cast in concrete beside the waterfall.","The intent of this project is to connect the present use of the site with its past, employing water as a metaphor. The concept is based upon the mythical river Lethe, the river as a repository of memories.Once, only a stone's throw from this site, an ancient stream flowed down through a forest. It carried into the ""well"" of the sea the memories from earliest times. I am proposing a symbolic reclamation of the past and recognition of change. ... there will be three elements within this flowing river. From the ""source"" at the upper waters a 10 ton erratic glacial boulder will be positioned ... at the pool below will be its mirror image, in bronze altered by chemical reaction and time. Language is the third bridging element, for words to convey a sense of a river's journey I have used the following quote by Leonardo da Vinci: ""In rivers, the water you touch is the last of what has passed, and the first of that which comes; so with time present.""",Palisades Apartments,1200 Alberni Street (at Bute),Downtown,49.287177,-123.12577
Brush With Illumination,1998,In place,"An illuminated environmentally interactive ""brush"" responds to wind, tide, and wave action, and rests on a steel piling balanced by two large spun steel buoys.  The brush moves with the currents and transmits weather and tide changes to http://www.livestream.com/brushwithillumination.","""…Brush with Illumination is the evolutionary successor of an ancient communication tool:  the calligraphy brush.  The piece is fitted with an array of sensors that glean environmental data from the air and water as the sculpture responds to environmental conditions, and transmit it both visually, through the laser-lighted pulsation's of the cursor at the tip of the brush, and electronically to a land based computer.  Mathematical functions translate these elemental events in a series of characters that are continually on display…"" at http://www.livestream.com/brushwithillumination [http://bustersimpson.net/brush/] (press release).",Roundhouse,False Creek seawall near David Lam Park,Downtown,49.271061,-123.122832
Terra Nova,1996,In place,"Terra Nova has two main parts: a) the Theatre of Discovery, a bronze curtain and hoop attached to the exterior wall of the Roundhouse   b) the Cone of Analysis resting on the plaza walkway below the wall - a large bronze cone which appears to be cut into parts, the nose of the cone is on a cart.","""The Latin words 'terra nova' mean new land…the geometric forms of the Cone of Analysis represent the broader world of mathematical truths.  Its pure form links cultures and transcends time…Theatre of Discovery dramatically connects the old Roundhouse to the present by alluding to the building's new use as a community arts centre.  Like an imaginary window, this portion of the work creates a mysterious narrative of activities that could occur in the arts centre or in our daily lives."" (Excerpts from press release)",Roundhouse Community Centre,181 Roundhouse Mews,Downtown,49.272992,-123.121871
Persian Wall,1998,In place,"Large blown glass florets (called Persians by the artist)  in colours of red, yellow, orange and blue are suspended in a rectangular glass case set in flowing water.","""I've never done a piece that is this public before.""-Westender, April 2, 1998.",The Residences on Georgia,1200 West Georgia Street at Bute Street,West End,49.287548,-123.125581
Make West,1997,In place,"The piece can be found along the foundation of the building on the waterfront walkway between Nicola and Cardero Streets. It is made of stones, plaques, and objects cast in bronze that refer to the history of the area and act as a puzzle. Recently, the strata council has posted privacy signs in the 3 alcoves - however, the artwork is visible from the sidewalk.","""Make West is an attempt to represent the history of Coal Harbour and, by extension, Vancouver and Western Canada.  It does so in the form of a series of shards, or extractions which constitute a game.""   -the artist",Coal Harbour,"Nicola Street to Cardero, along Coal Harbour Quay",Downtown,49.291453,-123.128163
Perennials,1997,In place,"A semi-circle of shattered glass screens with etched leaves is visible from the street and lit at night.  In the courtyard is a 4,500 sq. ft. leaf-shaped pool; situated around it are black granite seats with a word - hybrid, seasonal, wild, uprooted, perennial, transplanted - carved into each like the title of a botanical drawing. The leaf pool is visible in it's entirety from the suites above.","""Chance, timing and planning have brought the cultivation of new plants, residents, architecture and even art to the city of Vancouver. Perennials is a sculptural overlay, a botanical metaphor for the constant shifts in natural and cultural landscapes and for the fragility of their survival.""  (press release)",Beatty Mews Plaza,"1088 Cambie Street, Pacific Blvd. at Cambie Street",Downtown,49.274768,-123.118877
Personalizing Our Park,1995,In place,"The mosaics are cement stepping stones in various colours, shapes and with  inlays.","Personalizing Our Park is a process of celebrating our community spirit and action through hands-on art making that will give the pocket park, made by community members, a unique and lasting sculptural signature. The mosaics depict historical references to one of Vancouver's oldest neighbourhoods, ""Cedar Cottage,"" once the site of Moses Gibson's farm where, in the early days of urban development, the city met the forest.",Fleming Street Greenway,19th & Fleming Street,Kensington-Cedar Cottage,49.253479,-123.071802
Southlands Salmon Wall,1995,In place,"This mural is a school of painted salmon, each one unique.","The Salmon Wall was created as a means of fostering understanding between the Musqueam and Southlands communities. It was also envisioned as a process to encourage respect for the Musqueam people and their traditions in the non-Native community. The project was initiated by artist Alison Diesvelt who, together with the Southlands principal, identified Musqueam artist Debra Sparrow as a partner. Sparrow creates traditional weavings and indicated that she was interested in working on the community art piece. Out of community consultations and workshops, a mural was created with colours and patterns drawn from Musqueam visual traditions. Many community members participated in painting the school of salmon along the south wall near the main entrance and a community salmon barbecue was held to celebrate its completion. - Parks Board web site",Southlands Elementary School,5351 Camosun Street,Dunbar-Southlands,49.237801,-123.197495
Bird Feeders,1996,In place,Four galvanized bird feeders sited on railing posts.,,Woodland Drive Bridge, Over Grandview Cut,Grandview-Woodland,49.26461,-123.0735
subTEXT:Community Signature Project,1996,In place,Ceramic tiles inscribed with signatures of people set in east sidewalk of bridge.,"""Historically, bridges have been the frequent site of public monuments and plaques.... In formulating this particular proposal, I also began to think about more contemporary monuments such as the Vietnam Memorial in Washington.... This monument has a profound effect on visitors as they read through the list of 58,022 names of the war dead....the monument does not reduce history to a generalized commemmoration....it identifies and reclaims each individual for a larger collective history.  For the Grandview Cut Bridges Project, I am interested in constructing a public art component which directs its primary attention to the pedestrian traffic...in vital city neighbourhoods.…",Commercial Drive Bridge,"Grandview Cut, between 8th and Broadway",Grandview-Woodland,49.262759,-123.069599
Healing the Cut - Bridging the Gap,1996,In place,"Nesting boxes, planting, and a telescope in an alcove of Victoria Dr. Bridge","The history of the piece was actually quite interventionist, in that Janis and I were atempting to promote an environmentally sound alternative to a proposed freeway (now cancelled) which was to have gone through the Grandview Cut. The City had originally planned a vertical concrete wall at the site to accomodate future freeway construction and ""healing the Cut - Bridging the Gap"" was designed to prevent that from hapenning. Golden Willow, Cottonwood, Black Locust, and Butterfly Bush were planted to stabilize erosion which started after the bridge and the condominium unit on top of the ravine were constructed. The nesting birds would bring in the seeds of other plants in their droppings. Eventually the Engineering Dept. was won over by our ecological approach.",Victoria Drive Bridge,Over Grandview Cut between Broadway and 10th Avenue,Kensington-Cedar Cottage,49.261805,-123.066068
Wind Swimmer,1996,In place,This wind sculpture is a woman in a bathing suit who has articulated limbs that allow her to swim through the air. The speed of her movements is controlled by a propeller and the local wind currents at Kitsilano beach.,"Wind Swimmer was inspired by the artist's meeting with an older man who swam regularly off Stanley Park.  Taylor decided to build him a mate to swim along with him.  The prototype was made in 1993 for the Artropolis exhibition and installed in Stanley Park, but it was smashed by a log. The Parks Board pursued a second opportunity and a donor was found (Mary and Herb Auerbach).  The current Wind Swimmer was installed at Kits beach in 1996. The mechanism is specially engineered so that at winds of more than 55mph it turns sideways and slows down. (Guddrun Will, Vancouver Courier, May 19, 1996) Wind Swimmer was redesigned in 1999.",Kitsilano Pool,Cornwall Street at N. Foot of Yew,Kitsilano,49.273272,-123.157342
Ring Gear,1987,In place,"The 8m high gear is installed as a monument to commemorate the designers and builders of the many bridges across False Creek.  The gear was part of the second Cambie Bridge (or Connaught Bridge) which opened in 1911 and remained in service until 1984. Installed on the centre pier, the gear supported the steel truss swing span.",,Median,"Pacific Blvd median, near Cambie Bridge",Downtown,49.27431,-123.116987
Machina Metronoma (Shaughnessy Neighbourhood),1997,In place,"There are seven sculptures in the Metronoma series, mounted atop the 12-ft high cyclist-activated traffic signal poles. This series of sculptures is located at three intersections along 37th Avenue Ridgeway Greenway at Granville, Cambie, and Fraser Streets. Information about the other pieces can be found at ""Machina Metronoma (South Cambie neighbourhood)"" and  ""Machina Metronoma (Kensington-Cedar Cottage neighbourhood)"".These pole sculptures are variations of whimsical gizmos with individual iconic objects representing activities such as skating and cycling which happen along the Greenways route.  The sculptures have wind-catching hoods and counterbalanced panels which cause them to move back and forth like a metronome.   Granville Street and 37th Avenue, SW corner:  ""Machina Metronoma:  Even with Modern miniaturized technology, it is still pretty hard to put eighty pounds into a tire"" (icon:  lightweight air pump).   On the NE corner:  ""Machina Metronoma:  All Bicycles Weigh Fifteen Kilograms:  A Five Kilogram Bicycle Needs a Ten Kilogram Lock.  A Ten Kilogram Bicycle Needs a Five Kilogram Lock.  A Fifteen Kilogram Bicycle Doesn't Need a Lock"" (icon:  reinforced bicycle lock).","These works were conceptualized as ""a series of modern column capitals....decorated with iconography celebrating self-propelled technology and local history.  Each capital comprises one of fourteen ""Stations of the Crossings....""",Ridgeway Greenway,37th at Granville,Shaughnessy,49.238059,-123.139622
Aluminum Petroglyphs,1998,In place,Two bent aluminum 3-dimensional sculptures which take their inspiration from petroglyph forms are situated on 12' aluminum poles to mark the pedestrian and bicycle crossing areas.,,Ridgeway Greenway,37th & Victoria Drive,Kensington-Cedar Cottage,49.235938,-123.06556
Bicycle Wheel,1997,In place,Two bicycle-wheel sculptures perch atop two poles which  marks the bike path along the Greenways.,"The work stands as a literal marker of the bicycle route along the Greenways and also as an icon of twentieth century art, referring to an early work by Marcel Duchamp.",Ridgeway Greenway,37th & Main Street,,49.237247,-123.101839
Utility Pole,1997,In place,"""Garden rake"" sculptures mounted atop two cyclist-activated signal poles acknowledging the local gardening activities in the area, including Van Dusen Gardens.",,Ridgeway Greenway,37th & Oak,Shaughnessy,49.237762,-123.127791
Backstop: A Stage for Wordsworth,1998,In place,"A stage backdrop including curtains and columns made of coloured fencing is superimposed over an ordinary sports backstop cage.  An aluminum sheet along the top of the backstop acts as a pediment and displays a quote from Wordsworth:  ""This city now doth like a garment wear the beauty of the morning; silent, bare, ships, towers, domes, theatres, and temples lie open upon the fields, and to the sky.""",,Ridgeway Greenway: Cartier Park,E 37th & Prince Edward,RileyPark,49.237275,-123.097212
Big Bike,1998,In place,An over-size bicycle which forms a seat for cyclists,"""....part bench, part gateway and part bike fragment....Our sculpture is a connection marker at the bikeway intersection.  We've played with the scale and materials of standard bike elements to dramatize the intersection and to provoke a reaction from passers-by."" (Artists' statement)",Ridgeway Greenway: Queen Elizabeth Park,37th & Ontario,,49.237447,-123.105648
Ten Thousand Faucets & Doorknobs,1998,In place,"Fragments of residential architecture (door knobs, latches, plumbing fixtures, etc.) are sealed in amber coloured polyurethane and embedded in the sidewalk along the base of exterior columns and walls of the building.","""The piece functions on several scales: as a pathway accompanying the public through the site; on closer inspection, as individual ""cells"" filled with narrative details; and from a distance, as an underlying structure, a cadence of a collective memory beneath its current form.""  (the artist)",The Spot,933 Seymour Street,Downtown,49.279148,-123.121462
Percy Williams,1996,In place,"The sculpture depicts runner Percy Williams in starting position. It commemmorates Williams' winning of the 100 and 200 meter races at the Olympic Games in Amsterdam, 1928. The 5'6"", 130lb runner was born in Vancouver in 1908 and was 20 when he won the gold. His first victory was such a surprise that the medal ceremony was delayed while they looked for a Canadian flag. He is the only Canadian to win Olympic gold medals in track. He held the 100m world record from 1930-1940. After his career as a runner ended, he said he never liked running. he lived a quiet life out of the public limelight. He took his own life  in 1982. (Vancouver Sun, April 7, 2001, H7)",,BC Sports Hall of Fame and Museum,777 Pacific Blvd,Downtown,49.276564,-123.11156
Placed Upon the Horizon (Casting Shadows),1990,In place,A  text in yellow cedar (Placed Upon the Horizon (Casting Shadows) is located on the south facade of the VancouverArt Gallery above the columns.,"""The statement ""Placed Upon the Horizon (Casting Shadows)"" is a sculpture by American artist Lawrence Weiner.  Since the 1960's, Weiner has made sculptures which can exist in three separate states: as conceptual proposals described in language; as objects made of materials somehow related to the place in which they are installed; and as objects accompanied by a statement describing them.  The Vancouver Art Gallery's sculpture is made of cedar (a ""material of the region"") and is placed in a public space where it can be seen by many other people than those who visit art galleries.""  (From artwork description issued by the VAG)",Vancouver Art Gallery,750 Hornby Street,Downtown,49.282599,-123.121271
Clinton Park Kiosk,1996,In place,The core-ten steel kiosk is designed with forms that suggest beech leaves resting on four blades of grass that rest in a leaf-shaped concrete footing. The steel surface has a natural rust coating that seals it from further corrosion. The kiosk serves as a community notice board in the park.,"The project was part of a community initiative to renovate the play area at Clinton Park, a joint project of the Clinton Neighbourhood Committee and the Vancouver Park Board. The specially designed community notice board kiosk was jointly funded by the Park Board and the Public Art Program.",Clinton Park,2690 Grant Street,Hastings-Sunrise,49.270466,-123.050763
Glass Hand Project,1997,In place,A number of concrete tiles containing a hand print filled with cast glass were created from community workshops.  These tiles were then placed in concrete columns which form the two ends of a wooden bench.  The columns have peaked roofs and resemble houses connected by a bridge (the bench) in between.,,Maclean Park,Hawks Avenue & Georgia Street,Strathcona,49.278843,-123.088452
Mosaic Creek,1996,In place,"Mosaic Creek is a large mosaic in the shape of a creek made up of approximately 260 individual mosaics, each made by an individual or group of individuals. There are 3 separate sections of mosaic tile: the largest is approx. 80' long and varies in width and shape, the other two sections are approx. 10' long and 2 to 2.5' wide. The mosaics, set on a concrete base, are flush with the ground and flat across the surface, symbolically representing the surface of water. The park also includes a herb garden with a mosaic border designed by Glen Andersen and Marina Szijarto and wooden benches and a basalt pillar play area designed by Sarah White.","The idea for this project came from the initial public design process for the park itself. (A group called Britiannia Neighbours formed to organize a public design process and to fundraise for the park.) During the design process there were a number of ideas related ot water, none of which turned out to be feasible. Therefore, a symbolic representation was proposed - a mosaic creek. The intent was to involve as many community members as possible in making an art project which whould symbolize the notion of contributing one's individual expression and at the same time being part of a larger whole. There was no official theme or requirements except material specifications, I.e., frost-proof tile, type of glue, and spacing of tiles for grout allowance during installation. Approx. 500 people participated in the project (over 4,000 volunteer hours!).",McLean Park / Mosaic Creek Park,Charles Street & McLean Drive,Grandview-Woodland,49.273288,-123.074147
